slug,ingredient_name,amount,unit,daily_value_pct,form,is_proprietary_blend,blend_name
liver-sauce-1,Proprietary Blend 1,750,mg,,,TRUE,Proprietary Blend 1
liver-sauce-1,Dandelion root liquid extract,,,,,TRUE,Proprietary Blend 1
liver-sauce-1,Gentian root liquid extract,,,,,TRUE,Proprietary Blend 1
liver-sauce-1,Solidago gigantea aerial parts liquid extract,,,,,TRUE,Proprietary Blend 1
liver-sauce-1,Myrrh (Oleo-gum-resin),,,,,TRUE,Proprietary Blend 1
liver-sauce-1,Essential Oil of Sweet Orange,,,,,TRUE,Proprietary Blend 1
liver-sauce-1,Proprietary Blend 2,60,mg,,,TRUE,Proprietary Blend 2
liver-sauce-1,Diindolylmethane,,,,,TRUE,Proprietary Blend 2
liver-sauce-1,Milk Thistle Seed Extract,,,,80% Silymarin,TRUE,Proprietary Blend 2
liver-sauce-1,Quercetin,,,,,TRUE,Proprietary Blend 2
liver-sauce-1,Luteolin Extract,,,,,TRUE,Proprietary Blend 2
mag-threonate,Magnesium,144,mg,34,as Magnesium L-Threonate,FALSE,
mag-threonate,Magnesium L-Threonate,2,g,,Magtein®,FALSE,
magnesium,Magnesium,235,mg,56,"as DiMagnesium Malate, Magnesium Citrate USP, Albion® Minerals Magnesium Lysinate Glycinate Chelate",FALSE,
magnesium-powder,Calories,5,,,,FALSE,
magnesium-powder,Total Carbohydrate,1,g,<1,,FALSE,
magnesium-powder,Magnesium,300,mg,71,as Albion® Magnesium Bisglycinate Chelate,FALSE,
mb12,Folate,1700,mcg DFE,425,"from 1,000 mcg as Quatrefolic® (6S)-5-Methyltetrahydrofolic acid glucosamine salt",FALSE,
mb12,Vitamin B12,5000,mcg,"208,333",as Methylcobalamin,FALSE,
melatonin,Melatonin,1,mg,,,FALSE,
menstracalm,Vitamin C,40,mg,44,as Ascorbic Acid USP,FALSE,
menstracalm,Vitamin B6,50,mg,"2,941",as Pyridoxine Hydrochloride USP,FALSE,
menstracalm,Magnesium,100,mg,24,"as DiMagnesium Malate, Albion®",FALSE,
menstracalm,Gamma Aminobutyric Acid (GABA),250,mg,,,FALSE,
menstracalm,Glycine USP,225,mg,,,FALSE,
menstracalm,Dong Quai Root Extract,150,mg,,,FALSE,
motility-support,Calcium,30,mg,2,,FALSE,
motility-support,Motility Blend (Prodigest®),320,mg,,,TRUE,Motility Blend (Prodigest®)
motility-support,Artichoke Leaf Extract (Cynara cardunculus L.),,,,,TRUE,Motility Blend (Prodigest®)
motility-support,Ginger Root Extract (Zingiber officinale Roscoe),,,,,TRUE,Motility Blend (Prodigest®)
n-a-c,N-Acetyl-L-Cysteine USP,500,mg,,,FALSE,
n-adrenal,Holy Basil,300,mg,,Ocimum sanctum Leaf 10:1 Extract (Containing Ursolic Acid),FALSE,
n-adrenal,Ashwagandha Root Extract,250,mg,,Standardized to contain 1.5% Withanolides,FALSE,
n-adrenal,Adrenal Concentrate,220,mg,,Bovine,FALSE,
n-adrenal,Rhodiola rosea Root Extract,200,mg,,Standardized to contain 3% Rosavins,FALSE,
n-adrenal,Schisandra Berry Extract,150,mg,,,FALSE,
n-adrenal,Licorice Root Extract,75,mg,,Standardized to contain 12% Glycyrrhizin,FALSE,
n-adreve,Bacopa Extract,300,mg,,"Whole Herb, Bacognize®, Standardized to contain 12% Bacosides",FALSE,
n-adreve,Ashwagandha Root Extract,250,mg,,Standardized to contain 1.5% Withanolides,FALSE,
n-adreve,Rhodiola rosea Root Extract,200,mg,,Standardized to contain 3% Rosavins,FALSE,
n-adreve,Eleuthero Root Extract,200,mg,,Standardized to contain 0.8% Eleutherosides,FALSE,
n-adreve,L-Theanine,100,mg,,Suntheanine®,FALSE,
n-adreve,Phosphatidylserine,100,mg,,from Sunflower Seed,FALSE,
nad-gold,Riboflavin,3.6,mg,277,as Riboflavin-5-Phosphate,FALSE,
nad-gold,Vitamin B12,250,mcg,"10,417",as Methylcobalamin,FALSE,
nad-gold,NMN,50,mg,,β-Nicotinamide mononucleotide,FALSE,
nad-gold,NAD Proprietary Blend,60,mg,,,TRUE,Proprietary Blend
nad-gold,Trimethylglycine,,,,as Betaine,TRUE,Proprietary Blend
nad-gold,Quercetin Dihydrate,,,,from Sophora japonica flower,TRUE,Proprietary Blend
nad-gold,Resveratrol,,,,from Polygonum cuspidatum root,TRUE,Proprietary Blend
nanofuel,Nanofuel Proprietary Blend,190,mg,,,TRUE,Proprietary Blend
nanofuel,Highly purified phospholipids,,,,,TRUE,Proprietary Blend
nanofuel,Guarana seed extract,,,,,TRUE,Proprietary Blend
nanofuel,L-Alpha Glycerylphosphorylcholine (GPC),,,,,TRUE,Proprietary Blend
nanofuel,Ginseng Plus®,,,,,TRUE,Proprietary Blend
nanofuel,Panax Notoginseng root extract,,,,,TRUE,Proprietary Blend
nanofuel,Dimethylaminoethanol (DMAE),,,,from DMAE Bitartrate,TRUE,Proprietary Blend
nanofuel,Caffeine Anhydrous,,,,,TRUE,Proprietary Blend
nanofuel,Lifeflower® Erigeron Breviscapus herb extract,,,,,TRUE,Proprietary Blend
nanofuel,Theacrine,,,,as Teacrine®,TRUE,Proprietary Blend
nanofuel,American Ginseng (Panax quinquefolius) root extract,,,,,TRUE,Proprietary Blend
nanofuel,GS15-4® Fermented Korean Panax Ginseng Extract,,,,,TRUE,Proprietary Blend
nanofuel,Epimedium Sagittatum extract (aerial parts),,,,,TRUE,Proprietary Blend
nanofuel,Bacopa Monnieri herb extract,,,,,TRUE,Proprietary Blend
nanofuel,Citrus essential oil,,,,,TRUE,Proprietary Blend
